River_Sta,River,Reach,Gage,date,Event,Run_type,Run_num,Type,value
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 19:00,2001,Calibration,1,Model_Q,56823.52344
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 20:00,2001,Calibration,1,WS_Elev,573.4718628
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 20:00,2001,Calibration,1,Model_Q,56960.32813
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 21:00,2001,Calibration,1,WS_Elev,573.4950562
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 21:00,2001,Calibration,1,Model_Q,56927.58984
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 22:00,2001,Calibration,1,WS_Elev,573.5164795
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 22:00,2001,Calibration,1,Model_Q,56944.51172
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 23:00,2001,Calibration,1,WS_Elev,573.5353394
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/3/2001 23:00,2001,Calibration,1,Model_Q,57010.70313
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 0:00,2001,Calibration,1,WS_Elev,573.5522461
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 0:00,2001,Calibration,1,Obs_WS,573.1500244
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 0:00,2001,Calibration,1,Model_Q,57078.78906
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 1:00,2001,Calibration,1,WS_Elev,573.572998
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 1:00,2001,Calibration,1,Model_Q,57404.73047
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 2:00,2001,Calibration,1,WS_Elev,573.5855103
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 2:00,2001,Calibration,1,Model_Q,57921.63672
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 3:00,2001,Calibration,1,WS_Elev,573.5919189
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 3:00,2001,Calibration,1,Model_Q,58152.42188
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 4:00,2001,Calibration,1,WS_Elev,573.5975952
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 4:00,2001,Calibration,1,Model_Q,58234.48828
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 5:00,2001,Calibration,1,WS_Elev,573.6022949
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 5:00,2001,Calibration,1,Model_Q,58273.8125
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 6:00,2001,Calibration,1,WS_Elev,573.6064453
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 6:00,2001,Calibration,1,Obs_WS,573.4000244
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 6:00,2001,Calibration,1,Model_Q,58297.08984
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 7:00,2001,Calibration,1,WS_Elev,573.6245728
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 7:00,2001,Calibration,1,Model_Q,58898
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 8:00,2001,Calibration,1,WS_Elev,573.6488037
512.02,Mississippi     ,Apple_Wapsi     ,CAMANCHE,4/4/2001 8:00,2001,Calibration,1,Model_Q,59364.51172
